name,city,number_of_courts,lines_status,nets_status
Park on Wilgrove,Charlotte,6,Perm. Lines,Perm. Nets
Matthews United Methodist Church,Charlotte,3,Perm. Lines,Portable Nets
Stallings Municipal Park,Charlotte,4,Perm. Lines,Perm. Nets
Ballantyne Parking Deck Courts,Charlotte,2,Perm. Lines,Perm. Nets
Clarks Creek Community Park,Charlotte,8,Perm. Lines,Perm. Nets
Hartsell Recreation Center,Charlotte,5,Perm. Lines,Perm. Nets
Field Day Park,Charlotte,6,Perm. Lines,Perm. Nets
Latta Park,Charlotte,6,Perm. Lines,Tennis Nets
Logan Multi-Purpose Center,Charlotte,2,Perm. Lines,Portable Nets
Marion Diehl Recreation Center,Charlotte,4,Tape Lines,Portable Nets
Stallings Road Park,Charlotte,2,Perm. Lines,Tennis Nets
Mint Hill Veterans Memorial Park,Charlotte,2,Perm. Lines,Perm. Nets
Freedom Park,Charlotte,6,Perm. Lines,Perm. Nets
Huntingtowne Farms Park,Charlotte,4,Perm. Lines,Portable Nets
Frank Liske Park,Charlotte,12,Perm. Lines,Perm. Nets
Tuckaseegee Rec Center,Charlotte,6,Perm. Lines,Tennis Nets
Asing Community Park,Honolulu,2,Perm. Lines,BYO Nets
Aina Haina Community Park,Honolulu,1,Perm. Lines,BYO Nets
Kamiloʻiki Neighborhood Park,Honolulu,1,Perm. Lines,BYO Nets
St. Anthony School Kailua,Honolulu,3,Perm. Lines,BYO Nets
McCully District Park & Pool,Honolulu,4,Perm. Lines,BYO Nets
Schofield Courts,Honolulu,4,Perm. Lines,Tennis Nets
Diamond Head Tennis Center,Honolulu,5,Perm. Lines,Portable Nets
Makakilo Community Park Recreational Center,Honolulu,2,Perm. Lines,BYO Nets
Waiʻalae Iki Neighborhood Park,Honolulu,2,Perm. Lines,BYO Nets
Kunia Neighborhood Park,Honolulu,1,Perm. Lines,BYO Nets
Kapiolani beach homes court,Honolulu,3,Perm. Lines,Perm. Nets
Salt Lake District Park,Honolulu,1,Perm. Lines,BYO Nets
Mother Waldron Neighborhood Park,Honolulu,2,Perm. Lines,Perm. Nets
ʻEwa Mahiko District Park,Honolulu,8,Perm. Lines,BYO Nets
Kailua District Park,Honolulu,11,Perm. Lines,BYO Nets
Waimānalo District Park,Honolulu,6,Perm. Lines,BYO Nets
Paki Community Park,Honolulu,2,Perm. Lines,BYO Nets
Kokohead Neighborhood Park,Honolulu,2,Perm. Lines,BYO Nets
Koko Head District Park,Honolulu,3,Perm. Lines,Tennis Nets
Ala Wai Neighborhood Park,Honolulu,1,Perm. Lines,BYO Nets
Mililani Neighborhood Park,Honolulu,3,Perm. Lines,BYO Nets
(OAHU) Kāneʻohe District Park,Honolulu,2,Perm. Lines,BYO Nets
Halawa District Park,Honolulu,2,Perm. Lines,BYO Nets
Aina KOA Park,Honolulu,1,Perm. Lines,BYO Nets
Keʻehi Lagoon Beach Park,Honolulu,12,Perm. Lines,Perm. Nets
Crestview Community Park,Honolulu,2,Perm. Lines,BYO Nets
Kamokila Community Park,Honolulu,1,Perm. Lines,BYO Nets
Aikahi Community Park,Honolulu,1,Perm. Lines,BYO Nets
Ewa Beach Community Park,Honolulu,2,Perm. Lines,BYO Nets
Hanapepe Tennis Courts,Honolulu,4,Perm. Lines,BYO Nets
Mānana Neighborhood Park,Honolulu,1,Perm. Lines,Perm. Nets
Hoaeae Park,Honolulu,2,Perm. Lines,BYO Nets
Wilson Community Park,Honolulu,1,Perm. Lines,BYO Nets
Koko,Honolulu,3,Perm. Lines,Portable Nets
Kīpapa Neighborhood Park,Honolulu,2,Perm. Lines,BYO Nets
Petrie Community Park,Honolulu,3,Perm. Lines,BYO Nets
Kaimuki Community Park,Honolulu,4,Perm. Lines,BYO Nets
Mason Park,Houston,2,Perm. Lines,BYO Nets
Pasadena Athletics/PAL Gymnasium,Houston,3,Perm. Lines,Portable Nets
Dow Park,Houston,4,Perm. Lines,Tennis Nets
San Jacinto College North,Houston,8,Perm. Lines,BYO Nets
River Oaks Park,Houston,4,Chalk Lines,Tennis Nets
Jaycee Park,Houston,2,Perm. Lines,Perm. Nets
Clear Lake Presbyterian Church,Houston,3,Perm. Lines,Portable Nets
Bay Area Park,Houston,8,Perm. Lines,BYO Nets
Moody Community Center,Houston,2,Perm. Lines,Portable Nets
Bellaire Recreation Center,Houston,5,Perm. Lines,Tennis Nets
Freed Center,Houston,3,Perm. Lines,BYO Nets
Tidwell Community Center,Houston,3,Perm. Lines,Portable Nets
Clearlake Church of the Nazarene,Houston,3,Perm. Lines,Portable Nets
Sugar Land City Park,Houston,4,Perm. Lines,Portable Nets
Bear Creek Pioneers Park,Houston,2,Perm. Lines,Perm. Nets
West Gray Recreation Center,Houston,2,Perm. Lines,BYO Nets
Townwood Community Center,Houston,1,Perm. Lines,BYO Nets
Fonde Recreation Center,Houston,8,Perm. Lines,Portable Nets
Memorial Baptist Church,Houston,3,Tape Lines,Portable Nets
40 ALL,Houston,1,Perm. Lines,Perm. Nets
Alief Park and Neighborhhod Center,Houston,4,Perm. Lines,Tennis Nets
East Poplar Playground,Philadelphia,3,Tape Lines,Tennis Nets
Frederick L. Mann Memorial Park,Philadelphia,1,Perm. Lines,Perm. Nets
Lion's Den Park,Philadelphia,3,Perm. Lines,BYO Nets
Decou Field Complex,Philadelphia,6,Perm. Lines,Perm. Nets
Clem Macrone Park,Philadelphia,2,Perm. Lines,Tennis Nets
Glenolden Park,Philadelphia,1,Perm. Lines,Perm. Nets
Westgate Hills Park,Philadelphia,4,Perm. Lines,Perm. Nets
Paddock Park,Philadelphia,8,Perm. Lines,Perm. Nets
General Wayne park,Philadelphia,1,Perm. Lines,Perm. Nets
FDR Park,Philadelphia,4,Perm. Lines,Portable Nets
Bala Avenue & Union Avenue,Philadelphia,4,Perm. Lines,Perm. Nets
Towey Playground,Philadelphia,4,BYO Lines,Portable Nets
Gloucester Township Recreation Center,Philadelphia,3,Perm. Lines,BYO Nets
Julian Krinsky School of Tennis at the Narberth Racquet Club,Philadelphia,4,Perm. Lines,Portable Nets
Riverton Memorial Park,Philadelphia,3,Perm. Lines,Tennis Nets
Bo Connor Park,Philadelphia,1,Perm. Lines,BYO Nets
Carusi Middle School,Philadelphia,2,Perm. Lines,Tennis Nets
Bob White Park,Philadelphia,6,Perm. Lines,BYO Nets
Warren Filipone Memorial Park,Philadelphia,4,Perm. Lines,BYO Nets
Gouley Park,Philadelphia,2,Tape Lines,Portable Nets
C.C.A. Baldi Middle School,Philadelphia,4,Perm. Lines,BYO Nets
Junod Playground,Philadelphia,4,BYO Lines,BYO Nets
Church Street Recreation Center,Philadelphia,6,Perm. Lines,BYO Nets
Water Tower Recreation Center,Philadelphia,6,Perm. Lines,Perm. Nets
Awbury Recreation Center,Philadelphia,6,Perm. Lines,Perm. Nets
Springfield High School,Philadelphia,2,Perm. Lines,BYO Nets
Jeff Young Memorial Park,Philadelphia,2,Perm. Lines,Perm. Nets
Markward Playground,Philadelphia,2,BYO Lines,Portable Nets
Berlin Park,Philadelphia,5,Perm. Lines,Perm. Nets
Wynnewood Valley Park,Philadelphia,4,Perm. Lines,Perm. Nets
Ralph R. Rizzo Rink,Philadelphia,2,Tape Lines,Portable Nets
Garden State Rotary Complex,Philadelphia,6,Perm. Lines,Perm. Nets
Joyce Kilmer Elementary,Philadelphia,4,Perm. Lines,BYO Nets
David L. Venella Memorial Park / Green Acres Park,Philadelphia,6,Perm. Lines,Perm. Nets
South Ardmore Park,Philadelphia,1,Perm. Lines,Perm. Nets
Browning Road  Tennis Courts,Philadelphia,4,Perm. Lines,BYO Nets
La Salle University,Philadelphia,2,Perm. Lines,Portable Nets
Wall Park,Philadelphia,2,Perm. Lines,Perm. Nets
Burton Memorial Park,Fort Myers,1,Perm. Lines,Tennis Nets
Giuffrida Park,Fort Myers,2,Perm. Lines,Perm. Nets
Jim Jeffers Park,Fort Myers,4,Perm. Lines,Portable Nets
Lions Park,Fort Myers,2,Perm. Lines,Perm. Nets
Gator Trails Park,Fort Myers,2,Perm. Lines,Perm. Nets
Camelot Park,Fort Myers,4,Perm. Lines,Portable Nets
Sanibel Recreation Center,Fort Myers,2,Perm. Lines,Tennis Nets
Three Oaks Park,Fort Myers,6,Perm. Lines,Perm. Nets
FMRC,Fort Myers,6,Perm. Lines,Perm. Nets
Sands Park,Fort Myers,4,Perm. Lines,Perm. Nets
Wa-Ke Hatchee Outdoor Courts,Fort Myers,4,Perm. Lines,Perm. Nets
Brooks Community Park,Fort Myers,12,Perm. Lines,Perm. Nets
Schandler Hall Community Park,Fort Myers,2,Perm. Lines,Tennis Nets
Jack Peeples Community Park,Fort Myers,12,Perm. Lines,Perm. Nets
Joe Stonis Park,Fort Myers,6,Perm. Lines,Portable Nets
The Club at Crystal Lake,Fort Myers,2,Perm. Lines,Tennis Nets
Peay Park,Nashville,3,Perm. Lines,Perm. Nets
Madison Community Center,Nashville,3,Perm. Lines,Portable Nets
Hadley Park,Nashville,2,Tape Lines,Portable Nets
Hermitage Community Center,Nashville,3,Perm. Lines,Portable Nets
J.T. Moore Middle School,Nashville,4,Perm. Lines,BYO Nets
Vertical Gyms,Nashville,2,Tape Lines,Portable Nets
Hillwood,Nashville,3,BYO Lines,BYO Nets
Seven Oaks Park,Nashville,4,Perm. Lines,Perm. Nets
Sevier Park,Nashville,5,Perm. Lines,Portable Nets
Waipuilani Park,Maui,8,Perm. Lines,Perm. Nets
(Maui) Kula Community Center,Maui,5,Tape Lines,BYO Nets
The War Memorial Sports Complex,Maui,3,Perm. Lines,Portable Nets
Eddie Tam Memorial Center,Maui,3,Perm. Lines,Portable Nets
Mill race Park,Salt Lake City,2,Perm. Lines,Perm. Nets
Oak Hills Elementary School,Salt Lake City,2,Perm. Lines,BYO Nets
Hogan Park,Salt Lake City,6,Perm. Lines,Perm. Nets
Central Park,Salt Lake City,4,Perm. Lines,Portable Nets
Lodestone Park,Salt Lake City,2,Perm. Lines,Perm. Nets
5th Ave & C Street Pickleball Courts,Salt Lake City,2,Perm. Lines,Perm. Nets
11th Ave Park,Salt Lake City,6,Perm. Lines,Perm. Nets
Fairmont Park,Salt Lake City,6,Perm. Lines,Perm. Nets
Ron Wood Park,Salt Lake City,6,Perm. Lines,Perm. Nets
Muir Elementary School,Salt Lake City,2,Perm. Lines,BYO Nets
City Hall Park,Salt Lake City,2,Perm. Lines,Perm. Nets
Murray City Park,Salt Lake City,6,Perm. Lines,Perm. Nets
Centennial Park,Salt Lake City,12,Perm. Lines,Perm. Nets
Murray City Senior Recreation Center,Salt Lake City,3,Perm. Lines,Perm. Nets
Poplar Grove Park,Salt Lake City,2,Perm. Lines,Tennis Nets
Midvale Boys and Girls Club,Salt Lake City,8,Perm. Lines,Perm. Nets
Constitution Park Pickleball Courts,Salt Lake City,8,Perm. Lines,Perm. Nets
Taylorsville Water Tower Courts,Salt Lake City,4,Perm. Lines,Perm. Nets
West Valley City Family Fitness Center,Salt Lake City,12,Perm. Lines,Perm. Nets
Vista Park,Salt Lake City,2,Perm. Lines,Perm. Nets
Taylorsville Pickleball Courts,Salt Lake City,4,Perm. Lines,Perm. Nets
Second Summit Hard Cider Company,Salt Lake City,4,Perm. Lines,Perm. Nets
West Bountiful Pickleball Courts,Salt Lake City,4,Perm. Lines,Perm. Nets
Canyon Rim Park Pickleball Courts,Salt Lake City,10,Perm. Lines,Perm. Nets
Holladay Lions Recreation Center,Salt Lake City,6,Perm. Lines,Portable Nets
Washington Park,Salt Lake City,8,Perm. Lines,Perm. Nets
Kearns Oquirrh Park Fitness Center,Salt Lake City,6,Perm. Lines,Portable Nets
Cottonwood Heights Recreation Center,Salt Lake City,9,Perm. Lines,Perm. Nets
Flat Iron Mesa Park,Salt Lake City,5,Perm. Lines,Perm. Nets
Twin Hollow Park,Salt Lake City,6,Perm. Lines,Perm. Nets
Jurgens Park,Portland,4,Perm. Lines,Portable Nets
Hidden Creek Park East,Portland,6,Perm. Lines,Perm. Nets
Marshall/Luepke Community Center,Portland,4,Perm. Lines,Portable Nets
Hammerle Park,Portland,4,Perm. Lines,Perm. Nets
Alder Elementary School,Portland,2,Perm. Lines,Portable Nets
Lakeridge High School,Portland,6,Perm. Lines,BYO Nets
Tanner Creek Park,Portland,2,Perm. Lines,Perm. Nets
Rock Creek Landing Park,Portland,2,Perm. Lines,BYO Nets
Raleigh Swim Center,Portland,4,Perm. Lines,Perm. Nets
Parivar Park,Portland,2,Perm. Lines,Perm. Nets
Sellwood Park Tennis/Pickleball Courts,Portland,8,Perm. Lines,BYO Nets
Gabriel Park,Portland,6,Perm. Lines,Perm. Nets
Magnolia Park,Portland,2,Perm. Lines,BYO Nets
Lake Oswego Senior High School - North Courts,Portland,6,BYO Lines,BYO Nets
Cedar Hills Park,Portland,3,Perm. Lines,BYO Nets
Pier Park,Portland,4,Perm. Lines,BYO Nets
Lincoln Elementary School,Portland,4,Perm. Lines,Portable Nets
Risley Park,Portland,2,Perm. Lines,BYO Nets
Salvation Army,Portland,2,Perm. Lines,Portable Nets
Tualatin Community Park,Portland,6,Perm. Lines,BYO Nets
Fisher Basin Pickleball and Tennis Courts,Portland,6,Perm. Lines,BYO Nets
Elsie Stuhr Park,Portland,1,Perm. Lines,Perm. Nets
Grass Valley Park,Portland,2,Perm. Lines,Tennis Nets
Muslim Educational Trust,Portland,3,Perm. Lines,Portable Nets
Summerlake City Park,Portland,6,Perm. Lines,Portable Nets
Ida B. Wells-Barnett High School,Portland,6,Perm. Lines,Perm. Nets
Reedville Creek Tennis Court,Portland,4,Perm. Lines,BYO Nets
Southshore Blvd Reservoir,Portland,4,Perm. Lines,BYO Nets
Okeeheelee Park,West Palm Beach,6,Perm. Lines,Perm. Nets
The Isles At Wellington,West Palm Beach,3,Perm. Lines,Tennis Nets
Sunset Ridge Park,West Palm Beach,6,Perm. Lines,Portable Nets
Town of Lantana Recreation Center,West Palm Beach,2,Perm. Lines,Tennis Nets
Greenview Shores Park,West Palm Beach,8,Perm. Lines,Tennis Nets
Lake Lytal Park,West Palm Beach,6,Perm. Lines,Perm. Nets
Village Park Athletics Complex,West Palm Beach,7,Perm. Lines,BYO Nets
Abacoa Community Park,West Palm Beach,5,Perm. Lines,Perm. Nets
John Prince Park,West Palm Beach,6,Perm. Lines,Perm. Nets
Samuel J. Ferreri Community Tennis Court,West Palm Beach,2,Perm. Lines,Tennis Nets
Green Acres Freedom Park,West Palm Beach,4,Perm. Lines,Perm. Nets
Lone Lake,Minneapolis,8,Perm. Lines,Perm. Nets
Yancey Park,Minneapolis,4,Perm. Lines,BYO Nets
Riley Lake Park,Minneapolis,6,Perm. Lines,BYO Nets
Flanery Park,Minneapolis,2,Perm. Lines,Tennis Nets
Eden Prairie Senior Center,Minneapolis,6,Perm. Lines,Perm. Nets
Marie Park,Minneapolis,6,Perm. Lines,Perm. Nets
Westwood Play Fields,Minneapolis,12,Perm. Lines,Perm. Nets
Lynnhurst Recreation Center,Minneapolis,2,Perm. Lines,Portable Nets
Friendly Hills Park,Minneapolis,6,Perm. Lines,Perm. Nets
Mound Ave Tennis & Pickleball Courts,Minneapolis,6,Perm. Lines,Portable Nets
Central Park,Minneapolis,5,Perm. Lines,Perm. Nets
Richfield Washington Park,Minneapolis,8,Perm. Lines,Perm. Nets
Assembly Union Park,Minneapolis,3,Perm. Lines,Perm. Nets
Norwood Park,Minneapolis,6,Perm. Lines,Perm. Nets
Moore Lake Pickleball Courts,Minneapolis,2,Perm. Lines,Perm. Nets
Bridgewood park,Minneapolis,6,Perm. Lines,Perm. Nets
Totem Pole Park,Minneapolis,4,Perm. Lines,Perm. Nets
Lakeview Knolls Park,Minneapolis,18,Perm. Lines,Perm. Nets
Pedro Park,Minneapolis,2,Perm. Lines,Perm. Nets
St Peter's Catholic Church,Minneapolis,2,Perm. Lines,BYO Nets
Becker Park,Minneapolis,8,Perm. Lines,Perm. Nets
Lake Nokomis Community Center,Minneapolis,6,Perm. Lines,Perm. Nets
Loring Community Arts Center,Minneapolis,2,Perm. Lines,Perm. Nets
Rosland Park,Minneapolis,7,Perm. Lines,Perm. Nets
Bobby Theisen Park,Minneapolis,8,Perm. Lines,Perm. Nets
Orchard Park,Minneapolis,2,Perm. Lines,Perm. Nets
Central Park of Maple Grove,Minneapolis,4,Perm. Lines,Perm. Nets
Windom South Recreation Center,Minneapolis,2,Perm. Lines,Portable Nets
Garden Park,Minneapolis,4,Perm. Lines,BYO Nets
The Sanneh Foundation Community Camps - Conway Community Center,Minneapolis,2,Perm. Lines,Portable Nets
Zachary Playfield,Minneapolis,6,Perm. Lines,Perm. Nets
Highland Park Recreation Center,Minneapolis,3,Perm. Lines,Portable Nets
Bell Courts Park,Minneapolis,4,Perm. Lines,Perm. Nets
Salem Hills Park,Minneapolis,2,Perm. Lines,Perm. Nets
Sky Hill Park,Minneapolis,4,Perm. Lines,Portable Nets
McRae Park,Minneapolis,5,Perm. Lines,Portable Nets
Wolfe Park,Minneapolis,5,Perm. Lines,Perm. Nets
Weaver Lake Community Park,Minneapolis,4,Perm. Lines,Tennis Nets
Staring Lake Park,Minneapolis,8,Perm. Lines,Perm. Nets
Mattocks Park,Minneapolis,2,Perm. Lines,Tennis Nets
Dickman Park,Minneapolis,2,Perm. Lines,Perm. Nets
Martin Luther King Recreation Center,Minneapolis,4,Perm. Lines,Perm. Nets
Evergreen Park Roseville,Minneapolis,6,Perm. Lines,Perm. Nets
Crystal Community Center,Minneapolis,5,Perm. Lines,Portable Nets
Webster Park,Minneapolis,2,Perm. Lines,Perm. Nets
Plymouth Middle School,Minneapolis,4,Perm. Lines,Tennis Nets
Merriam Park Recreation Center,Minneapolis,2,Perm. Lines,Portable Nets
St Louis Park Middle School,Minneapolis,8,Perm. Lines,BYO Nets
Oakwood Elementary School,Minneapolis,4,Perm. Lines,Tennis Nets
Kerber Park,Minneapolis,6,Perm. Lines,BYO Nets
Bass Lake Playfield - East,Minneapolis,6,Perm. Lines,Perm. Nets
North Valley Park,Minneapolis,6,Perm. Lines,Perm. Nets
Wildwood Park Pickleball Court,Minneapolis,6,Perm. Lines,Perm. Nets
Pearl Recreation Center,Minneapolis,4,Perm. Lines,BYO Nets
Hancock Recreation Center,Minneapolis,2,Perm. Lines,Portable Nets
Jimmy Lee Recreation Center,Minneapolis,2,Perm. Lines,Portable Nets
Windom Park,Minneapolis,2,Perm. Lines,Perm. Nets
Highland Hills Tennis/Pickleball Court,Minneapolis,2,Perm. Lines,Tennis Nets
Quarry Park,Minneapolis,8,Perm. Lines,Perm. Nets
Pleasant Park,Raleigh,6,Perm. Lines,Perm. Nets
Womble Park - Holly Springs,Raleigh,2,Perm. Lines,Tennis Nets
Ed Yerha Park,Raleigh,3,Perm. Lines,Perm. Nets
McCrimmon Park,Raleigh,6,Perm. Lines,Perm. Nets
Ting Park - Sports Club,Raleigh,4,Perm. Lines,Perm. Nets
Morrisville Community Park,Raleigh,3,Perm. Lines,Perm. Nets
Kelly Road Park,Raleigh,4,Perm. Lines,Perm. Nets
Baileywick Park,Raleigh,9,Perm. Lines,Portable Nets
Bethesda Park,Raleigh,6,Perm. Lines,Portable Nets
North Hills Park,Raleigh,6,Perm. Lines,Perm. Nets
Walnut Street Park,Raleigh,2,Perm. Lines,Perm. Nets
Harper Park Tennis & Pickleball Park,Raleigh,4,Perm. Lines,Perm. Nets
Cary Tennis Park,Raleigh,4,Perm. Lines,Perm. Nets
Cary Carpenter Park,Raleigh,3,Perm. Lines,Perm. Nets
Method Community Center,Raleigh,8,Perm. Lines,Perm. Nets
Apex Elementary School,Raleigh,4,Perm. Lines,Perm. Nets
Donner Park Community Center,Jacksonville,6,Perm. Lines,BYO Nets
Klutho Tennis Court,Jacksonville,2,Perm. Lines,Tennis Nets
William Sheffield Regional Park,Jacksonville,6,Perm. Lines,Perm. Nets
Fletcher High School,Jacksonville,4,Perm. Lines,BYO Nets
Boone Park Tennis Complex,Jacksonville,6,Perm. Lines,Perm. Nets
Blue Cypress Park,Jacksonville,4,Perm. Lines,Perm. Nets
Fort Family Park,Jacksonville,4,Perm. Lines,Perm. Nets
Southside Park Tennis,Jacksonville,4,Perm. Lines,Tennis Nets
Victoria Park,Jacksonville,1,Perm. Lines,Tennis Nets
Argyle Forest Park,Jacksonville,12,Perm. Lines,Perm. Nets
Jarboe Park,Jacksonville,8,Perm. Lines,Perm. Nets
Alberts Field,Jacksonville,4,Perm. Lines,BYO Nets
Orange Park Sports & Recreation Park,Jacksonville,2,Perm. Lines,Tennis Nets
LifePoint Christian Fellowship,Jacksonville,2,Perm. Lines,Portable Nets
South Beach Park and Sunshine Playground,Jacksonville,2,Perm. Lines,Perm. Nets
Isle of Palms Park JAX,Jacksonville,4,Perm. Lines,BYO Nets
Ringhaver Park,Jacksonville,6,Perm. Lines,Perm. Nets
Walter Anderson Memorial Park,Jacksonville,6,Perm. Lines,Perm. Nets
Ortega Life Center @ Ortega United Methodist Church,Jacksonville,3,Perm. Lines,BYO Nets
Belle Terre Park,New Orleans,5,Perm. Lines,Portable Nets
Estelle Park,New Orleans,3,Tape Lines,Portable Nets
Belle Chasse Multi-Purpose Building,New Orleans,4,Tape Lines,Portable Nets
Pontchartrain Park,New Orleans,6,Tape Lines,BYO Nets
Union Playspot,New Orleans,2,Perm. Lines,Perm. Nets
Wally Pontiff Jr Playground,New Orleans,2,Perm. Lines,Portable Nets
Joe W. Brown Park Tennis Center,New Orleans,10,Perm. Lines,Tennis Nets
Oakdale park,New Orleans,2,Perm. Lines,Perm. Nets
Crescent Park,New Orleans,10,BYO Lines,BYO Nets
Morris FX Jeff Sr. Park,New Orleans,5,Perm. Lines,Portable Nets
Val Riess Complex,New Orleans,6,Perm. Lines,Portable Nets
Mike Miley Playground,New Orleans,4,Perm. Lines,Portable Nets
Gernon Brown Recreation Center,New Orleans,3,Tape Lines,Portable Nets
Pan Am Neighborhood Park,Austin,6,Perm. Lines,Perm. Nets
University of Texas Elementary Charter School,Austin,2,Perm. Lines,Portable Nets
Westenfield Neighborhood Park,Austin,2,Perm. Lines,BYO Nets
Hancock Recreation Center,Austin,2,Perm. Lines,BYO Nets
Lakeway City Park,Austin,4,Perm. Lines,Perm. Nets
Mary Frances Baylor,Austin,2,Perm. Lines,BYO Nets
Civitan Park,Austin,4,Perm. Lines,BYO Nets
Dittmar Recreation Center,Austin,4,Perm. Lines,Portable Nets
Parque Zaragoza Recreation Center,Austin,1,Perm. Lines,BYO Nets
Northwest Austin Recreation Center,Austin,3,Perm. Lines,Portable Nets
Little Zilker Park,Austin,4,Tape Lines,BYO Nets
Rosewood Neighborhood Park,Austin,2,Perm. Lines,Perm. Nets
Mountain View Park,Austin,4,Perm. Lines,BYO Nets
Virginia L. Brown Recreation Center,Austin,2,BYO Lines,BYO Nets
Montopolis Recreation and Community Center,Austin,2,Perm. Lines,Portable Nets
George Morales Dove Springs Recreation Center,Austin,3,Perm. Lines,Portable Nets
South Austin Recreation Center Gym,Austin,4,Perm. Lines,Portable Nets
Mary Moore Searight,Austin,3,Perm. Lines,BYO Nets
Dick Nichols District Park,Austin,5,Perm. Lines,BYO Nets
Austin Recreation Center,Austin,3,Perm. Lines,Portable Nets
Shipe Park,Austin,2,Perm. Lines,BYO Nets
Austin High Tennis Center,Austin,3,Perm. Lines,Perm. Nets
Alamo Recreation Center,Austin,3,Perm. Lines,BYO Nets
Gus Garcia Recreation Center,Austin,4,Perm. Lines,BYO Nets
SARC Multi Use courts,Austin,4,Perm. Lines,Portable Nets
Beverly S Sheffield Northwest District Park,Austin,4,Perm. Lines,BYO Nets
Windermere Park,Austin,1,Perm. Lines,Tennis Nets
Lake Travis Biergarten,Austin,2,Perm. Lines,Perm. Nets
Brentwood Neighborhood Park,Austin,2,Perm. Lines,BYO Nets
Pooler Recreation Park,Savannah,1,BYO Lines,BYO Nets
Lake Mayer Park,Savannah,4,Perm. Lines,Perm. Nets
Daffin Park,Savannah,3,Perm. Lines,Tennis Nets
"The Salvation Army of Savannah, GA",Savannah,2,Perm. Lines,Portable Nets
Tybee Island Memorial Park,Savannah,2,Perm. Lines,BYO Nets
Jaycee Park,Savannah,1,Perm. Lines,Portable Nets
Bluffton Recreation Center,Savannah,2,Perm. Lines,Perm. Nets
South Bryan County Rec Center,Savannah,8,Perm. Lines,Perm. Nets
Lyndhurst Park,Cleveland,3,Perm. Lines,BYO Nets
Clague Park,Cleveland,6,Perm. Lines,Portable Nets
Beachwood Pickleball Courts,Cleveland,6,Perm. Lines,Perm. Nets
Purvis Park,Cleveland,2,Perm. Lines,BYO Nets
Eastlake Skatepark,Cleveland,2,Perm. Lines,Perm. Nets
Lakewood Park,Cleveland,4,Perm. Lines,Perm. Nets
Campbell Park,Cleveland,4,Perm. Lines,Perm. Nets
Linden Park,Cleveland,6,Perm. Lines,BYO Nets
Orange Village Park,Cleveland,1,Perm. Lines,BYO Nets
Mayfield Heights City Park,Cleveland,14,Perm. Lines,Portable Nets
Cleveland University Heights,Cleveland,4,Perm. Lines,BYO Nets
Meijer Park formerly Valleywood Park,Cleveland,2,Perm. Lines,Perm. Nets
Merl Park,Cleveland,1,Perm. Lines,Tennis Nets
Berea/Midpark Middle School,Cleveland,4,Perm. Lines,Portable Nets
Reese Park,Cleveland,4,Perm. Lines,Perm. Nets
Denison Park,Cleveland,8,Perm. Lines,Portable Nets
Jindra Park Pickleball Courts,Cleveland,2,Perm. Lines,Perm. Nets
Solon Community Park,Cleveland,4,Perm. Lines,Perm. Nets
Shaker Heights Sussex Park,Cleveland,4,Perm. Lines,Portable Nets
Elmwood Park Tennis/Pickleball Courts,Cleveland,6,Perm. Lines,Perm. Nets
Parma Heights Pickleball Courts,Cleveland,2,Perm. Lines,Perm. Nets
The Salvation Army - Cleveland Temple,Cleveland,2,Perm. Lines,Portable Nets
Impett Park,Cleveland,2,Perm. Lines,Tennis Nets
Brainard Park,Cleveland,2,Perm. Lines,Perm. Nets
Kennedy Park - Cuyahoga Falls Ohio,Cleveland,2,Perm. Lines,Tennis Nets
Morton Park,Cleveland,10,Perm. Lines,Perm. Nets
Victory Park,Cleveland,2,Perm. Lines,Perm. Nets
Michael A. Ries Courts,Cleveland,4,Perm. Lines,Perm. Nets
Greenbriar Commons Park,Cleveland,2,Perm. Lines,Perm. Nets
Surrarrer Park,Cleveland,4,Perm. Lines,BYO Nets
Glen Meadow Park,Cleveland,6,Perm. Lines,Perm. Nets
Tri-City Park,Cleveland,12,Perm. Lines,Perm. Nets
Euclid Memorial Park,Cleveland,6,Perm. Lines,Perm. Nets
Cleveland Pickleball Center,Cleveland,14,Perm. Lines,Perm. Nets
Highland Heights Community Park,Cleveland,8,Perm. Lines,Portable Nets
Francis Park,St Louis,6,Perm. Lines,Perm. Nets
Hoech Middle School,St Louis,2,Perm. Lines,BYO Nets
Brinkop Park,St Louis,1,Perm. Lines,Perm. Nets
Lake School Park,St Louis,1,Perm. Lines,
Metro East Sportsplex,St Louis,4,Tape Lines,Portable Nets
Conway Park,St Louis,2,Perm. Lines,Perm. Nets
Blackburn Park,St Louis,2,Perm. Lines,Perm. Nets
Moody Park,St Louis,4,Perm. Lines,Perm. Nets
A.B. Green Park,St Louis,4,Perm. Lines,BYO Nets
Jewish Community Center,St Louis,3,Perm. Lines,Portable Nets
O'Fallon Park Recreation Complex,St Louis,1,Perm. Lines,BYO Nets
Kirkwood Park Tennis Center,St Louis,20,Perm. Lines,Perm. Nets
Glidden Park,St Louis,6,Perm. Lines,Perm. Nets
Vago Park,St Louis,3,Perm. Lines,Portable Nets
Bridgeway Park,St Louis,2,Perm. Lines,Perm. Nets
Bangert Park,St Louis,3,Perm. Lines,Perm. Nets
Maryville Drost Park,St Louis,2,Perm. Lines,Perm. Nets
Pattonville Heights Middle School,St Louis,3,Perm. Lines,Tennis Nets
